action;person
INSERT;{"firstName":"Eveline","lastName":"Ferry","uid":"2e220e29908"}
INSERT;{"firstName":"Murl","lastName":"Rodriguez","uid":"e220e299087"}
INSERT;{"firstName":"Eveline","lastName":"Ferry","uid":"220e299087f"}
INSERT;{"firstName":"Murl","lastName":"White","uid":"20e299087fd"}
DELETE;{"firstName":"Eveline","lastName":"Ferry","uid":"2e220e29908"}
INSERT;{"firstName":"Eveline","lastName":"Ferry","uid":"e299087fdcf"}
INSERT;{"firstName":"Elda","lastName":"Hintz","uid":"299087fdcf9"}
INSERT;{"firstName":"Jerome","lastName":"Grady","uid":"99087fdcf93"}
DELETE;{"firstName":"Murl","lastName":"Rodriguez","uid":"e220e299087"}
DELETE;{"firstName":"Elda","lastName":"Hintz","uid":"299087fdcf9"}
DELETE;{"firstName":"Eveline","lastName":"Ferry","uid":"220e299087f"}
INSERT;{"firstName":"Lon","lastName":"Moen","uid":"7fdcf934dce"}
INSERT;{"firstName":"Murl","lastName":"White","uid":"fdcf934dce0"}
INSERT;{"firstName":"Elda","lastName":"Hintz","uid":"dcf934dce0f"}
INSERT;{"firstName":"Elda","lastName":"Schoen","uid":"cf934dce0fa"}
INSERT;{"firstName":"Murl","lastName":"Rodriguez","uid":"f934dce0fa8"}
INSERT;{"firstName":"Eveline","lastName":"Ferry","uid":"934dce0fa8b"}
INSERT;{"firstName":"Wilton","lastName":"Runolfsdottir","uid":"34dce0fa8bc"}
INSERT;{"firstName":"Joan","lastName":"Haley","uid":"4dce0fa8bc1"}
INSERT;{"firstName":"Joan","lastName":"Haley","uid":"dce0fa8bc1a"}
DELETE;{"firstName":"Wilton","lastName":"Runolfsdottir","uid":"34dce0fa8bc"}
INSERT;{"firstName":"Amparo","lastName":"Wolf","uid":"e0fa8bc1a50"}
INSERT;{"firstName":"Ariel","lastName":"Bahringer","uid":"0fa8bc1a508"}
INSERT;{"firstName":"Horace","lastName":"Brekke","uid":"fa8bc1a5084"}
INSERT;{"firstName":"Delbert","lastName":"Boyer","uid":"a8bc1a50842"}
INSERT;{"firstName":"Jerome","lastName":"Grady","uid":"8bc1a508427"}
DELETE;{"firstName":"Eveline","lastName":"Ferry","uid":"e299087fdcf"}
INSERT;{"firstName":"Elda","lastName":"Emard","uid":"c1a508427b6"}
INSERT;{"firstName":"Joan","lastName":"Haley","uid":"1a508427b6b"}
INSERT;{"firstName":"Dedric","lastName":"McDermott","uid":"a508427b6bc"}
INSERT;{"firstName":"Chadrick","lastName":"Murazik","uid":"508427b6bc6"}
